0;pred
hallo;1
audi;1
problem;1
folgendes problem;1
gänge;1
gang;1
1 . gang;1
fahrersitz;1
op;1
ganghebel;1
drücke;1
glück;1
gestänge;1
auto;1
plastikschalen;1
einfach;1
entscheitung;1
fett;1
gruß thomas;1
thomas;1
gruß;1
interessehalber;1
/;0
u/min;1
wc;1
nm;1
motorkennbuchstabe;1
5-zylinder;1
cm³;1
modell;1
hallo;1
leute;1
hallo leute;1
unlackierten teile;1
teile;1
audi;1
müsste;1
schraubenziehern;1
einbau;1
spuren;1
scheinwerfern;1
mitteln;1
threat;1
bilder;1
bild;1
"; grüße";1
arrgyle;1
grüße;1
super;1
klar ramponierteren stellen;1
schlieren;1
stellen;1
schleifen;1
kunststoffgel;1
sonax;1
zitat;1
uhr;1
2,7 t;1
juni;1
t;0
"; schleifen";1
heissluftföhn;1
hochglanz;1
kunststoff;1
unlackierten kunststoff;1
muss;1
plastik;1
temperatur;1
schmilzt;1
hallo;1
hallo , suche schwarze rückleuchten;1
rückleuchten;1
leiste;1
us;1
version;1
danke;1
hallo;1
auto;1
servoöl;1
zustand;1
kaltem zustand;1
hallo;1
verteiler;1
bilder;1
mutter;1
verteilers;1
bild;1
verdeckung;1
schraube;1
spiegel;1
abdeckung;1
verteiler finger bombenfest;1
bombenfest;1
tipp;1
pfingsten;1
"; danke";1
danke;1
ng;1
befestigung;1
originalteil;1
sein,,,versuch;1
blech;1
abflexen;1
lösen.niet;1
fester;1
dranbleiben,,zuerst;1
raus,,danach;1
finger;1
raus,,danach finger;1
micha;1
mfg;0
mfg micha;1
versehen;1
sicherung;1
befestigungsmutter;1
dient;1
abreißschraube;1
schraubendreher meißel;1
rausdrehen;1
meißel;1
abrisschraube;1
reinflexen;1
mitm;1
schlitz reinflexen;1
dremel;1
mensch;1
reimport;1
ländern;1
zündzeitpunkt;1
deutschen zulassungen;1
zulassungen;1
infos;1
dank;1
abrissschraube;1
abreissen;1
nähe;1
autohaus;1
erstbesitzer;1
idee;1
verteilerfinger;1
abbekomme;1
abend;1
"; grüße";1
grüße;1
bügel;1
motor;1
ot;1
markierung;1
zylinder;1
verteilerkappe;1
kannst;1
nase;1
schraubenkopf;1
sechskant;1
kopf;1
name;1
https://www.ost-moped.de/abreisschraube-m6x14-af-172.html;0
woche;1
ende;1
angriff;1
projekt;1
gruß;1
essen;1
audi 80 1.8s sport edition;1
audi;1
moin;1
edition;1
jungs;1
sport;1
1.8s;1
monaten;1
kupplung;1
druck;1
system;1
geber;1
zylinder;1
thema;1
erfolg;1
auffahrrampen;1
hebebühne;1
grube;1
verfügung;1
"; liebe grüße";1
grüße;1
hallo;1
frage;1
kupplungssystem;1
entlüften;1
stress;1
problem;1
musst;1
bremsflüssigkeitsbehälter;1
1bar;1
getriebe;1
bremse;1
adapter;1
luft;1
nehmerzylinder;1
nippel;1
kompressor;1
möchtest;1
"; mfg";1
mfg;0
konntest;1
ne;1
nachfüllung;1
alten dinger konntest;1
audianweisung;1
"hauptbremszylinder- ; audianweisung";1
li vorderen radzyl;1
li;1
radzyl;1
nehmerzyl.verlegen;1
schlauch;1
entlüfterventil;1
mal;1
ventil;1
ca;1
radzylinder;1
nehmerzyl;1
schliessen;1
zitat;1
uhr;1
mai;1
@stef1992;0
"; hallo";1
komponenten;1
tausch;1
hallo;1
gebrauch;1
auto;1
juni;1
familie;1
wochenende;1
freunde;1
richtung;1
km;1
uni;1
recherche;1
audi;1
baujahr;1
90ps;1
1.8s;1
versicherungsbeiträge;1
typklassen-werts;1
unterhaltskosten;1
thema;1
b3;1
gründe;1
muss;1
-versicherung;1
€;0
jahren;1
jahr;1
"; -versicherung";1
führerscheinbesitz;1
norm;1
-steuer;1
euro;1
hauptkriterium;1
kauf;1
-vollverzinkte;1
karosserie;1
rost;1
tüv;1
wenig/kein rost;1
substanz;1
grund;1
verbindung;1
moment;1
motor;1
-1.8s motor;1
wartungen;1
pm;1
-1.8s;1
-generell;1
image;1
-design;1
fahranfänger;1
rentnerkarre;1
-anschaffungspreis;1
bisschen;1
problem;1
reparaturen;1
dinge;1
spezielles;1
fokus;1
täglichen;1
frage;1
"; -glaubt";1
-glaubt;1
fall;1
verbrauch;1
erfahrungen;1
langstrecke;1
kurzstrecke;1
-wie;1
wartungsaufwand;1
kosten;1
sachen;1
o.ä.;1
autos;1
alternative autos;1
bedingungen;1
lesen;1
art;1
weise;1
b4s;1
überblick;1
motoren;1
situation;1
teilen;1
80/90er;1
verständnis;1
kluge;1
idee;1
unterstützung;1
netz;1
b.;0
www.audi-80-scene;0
b5;1
jüngeren;1
a4;1
alternative;1
typ;1
wahl;1
fährst;1
erhaltene exemplare;1
exemplare;1
schau;1
nen;1
golf;1
karosse;1
airbag;1
abs;1
klima;1
b4;1
glück;1
mehrlenkerachse;1
spurvermessung;1
teile;1
einbau;1
500€.;1
vw;1
brauchbares;1
konzern;1
seltenheit;1
japanern;1
mazda;1
toyota;1
subaru;1
daily;1
oldtimer;1
wartungsstau;1
rentnerautos;1
guterhaltene rentnerautos;1
kenntnissen;1
senf;1
t89;1
a3;1
fahrwerk;1
fahrverhalten;1
8l;1
winter;1
typ89;1
schöner wagen;1
wagen;1
sommer;1
vorrednern;1
punkt;1
recht;1
anfängerauto;1
80er;1
jahre;1
super;1
zeit;1
schönen;1
verheizt;1
d.h.;1
bedenke;1
tolle;1
oldie;1
liebe;1
probleme;1
audis;1
anständiges geld;1
geld;1
tradition;1
ersatzteile;1
schaumstoff;1
innenraum;1
teilebeschaffung;1
´;0
schraubendreher;1
hammer;1
metall;1
zink;1
bj1988;1
daily-driver;1
rentnerhand;1
geschäftsreisen;1
100.000 km;1
garage;1
90er;1
780 euro;1
instandhaltung/wartung/reparaturen;1
vergleich;1
a;0
neueres;1
wilkommen;1
erfolg;1
ansonsten : erfolg;1
gemeinde;1
suche;1
mfg;0
zeiten;1
garagenwagen;1
alter;1
hohe alter;1
usw;1
kraftstoffleitungen rosten;1
fault;1
aggregateträger;1
rosten;1
schaumstoffe;1
porös;1
kunststoffe;1
vorderachse;1
eoe;1
auskunft;1
vag;1
teiledealer;1
"; übliche auskunft";1
antworten;1
dank;1
z.b.;1
inwiefern;1
klar versicherung;1
sprit;1
monat;1
versicherung;1
sinne;1
motorisierung;1
werkstatt;1
diesel;1
fehlermeldungen;1
sowas;1
kleinigkeit;1
literpreis;1
antrieb;1
frühe;1
getriebe;1
8l/100km;1
rum;1
überland;1
stadt;1
vorteil;1
gewicht;1
tonne;1
is;1
solltest;1
abs solltest;1
b3,aber;1
radstand;1
spur;1
rädern;1
wertiger;1
sache;1
vollverzinkte;1
karosserien;1
buckel;1
aufm;1
zitat;1
februar;1
00:38:04;0
@emil2267;0
uhr;1
gang;1
plakette;1
tdi;1
sicher;1
pd;1
vep;1
fahrweise;1
ca;1
a4 b7;1
b7;1
neueren fahrzeuge;1
diagnosegerät;1
fahrzeuge;1
kostenstellen;1
fahrzeug;1
kraftstoff;1
15l;1
einkalkulieren;1
modellen;1
kühler;1
vollverzinkung;1
auspuff;1
alten fahrzeugen;1
federn&dämpfer;1
fahrzeugen;1
scoda;1
mal;1
kombi;1
octavia;1
liter;1
ausstattung;1
großes;1
standard;1
boadcomputer;1
servolenkung/abs;1
klimaanlage;1
anregung;1
ausschau;1
billiges;1
würd;1
easy;1
"; bedenke";1
ersatzteilregal;1
modell;1
golf 4 audi a4;1
hand;1
woche;1
letzte woche;1
einwandfrei;1
fahrversuche;1
sohn;1
fahrverbote;1
fein;1
zustand;1
foto;1
fordermann;1
frühjahr;1
kotflügel;1
ansonsten rostfrei;1
rostfrei;1
s.martin nen wagen;1
s.martin;1
deutschland;1
86c;1
tagen;1
polo;1
bekannter;1
80er audi;1
felgen;1
reifen;1
riemen;1
preis;1
uralt;1
prinzip;1
problemstellen;1
bsp;1
hinterachse;1
bereich;1
18:53:12;0
@bodenblech_78;0
m.m.n;1
fragen+problemen;1
1 zettel;1
zettel;1
schrauber;1
kiste;1
stadtverkehr;1
eyecatcher;1
2.0e;1
-im;1
-im winter;1
steuer;1
135€. versicherung;1
kofferraum;1
vorteile;1
sicherheitskomponenten;1
nachteile;1
leidenschaft;1
leistung;1
autoampel;1
typenklassen;1
danke;1
mal rande;1
rande;1
h;0
fahren;1
hab;1
sf26;1
sodele;1
fahr;1
stelle;1
sinn;1
haftpflicht;1
mind.;0
innerorts;1
bescheid;1
vorbesitzer;1
schrauben;1
budget;1
puffer;1
karre;1
risiko;1
ansicht;1
land;1
klein;1
langstreckentauglichkeit;1
mal 600 km;1
gefahren;1
teilesituation;1
informationsvielfalt;1
startauto;1
lieblingsauto;1
steilheck;1
hälfte;1
avant;1
fahrzeugwahl;1
fahrt;1
cool;1
spaß;1
allzeit;1
ot;1
bilder;1
"; gruss";1
gruss;1
thomas;1
audi;1
hinterseite;1
standard federn;1
freundlichen grüßen lukas;1
b3;1
erfahrung;1
coupe;1
federn;1
quattro;1
grüßen;1
audi coupe b3 quattro;1
lukas;1
standard;1
z.b.;1
https://www.ebay.de/.../i.html;0
vorhandenen;1
https://www.euautoteile.de/teil/spidan/8197449;0
spidan;1
vorherigen;1
deutschland;1
sportfahrwerk;1
passen;1
zitat;1
uhr;1
@lukashaas;0
juni;1
18:15:32;0
s2;1
schau;1
hersteller;1
frag;1
https://www.ebay.at/itm/143468827014;0
ok;1
tradition;1
btw;1
https://shops.audi.com/.../schraubenfeder-893511115f-10;1
sitze;1
schriftzug;1
satain;1
go verkehr;1
stop;1
rd .;1
.;0
hohen umgebungstemperaturen;1
go;1
verkehr;1
rd . 2;1
c3;1
jahren;1
rd;1
bremsen;1
schrullige angewohnheit;1
umgebungstemperaturen;1
stadt;1
angewohnheit;1
bockelhard;1
pedal;1
weiterfahrt;1
längeren standzeit;1
abkühlung;1
standzeit;1
bremssättel;1
bremsschläuche;1
bremskraftverstärker;1
abfall;1
behälter;1
ral;1
moin;1
moin ral;1
belüftungs;1
entlüftungsrohr;1
gruß stefan;1
stefan;1
gruß;1
system;1
vorratsbehälter;1
gelöster;1
flüssigkeit;1
steuerblock;1
probleme;1
alters;1
ausgleichsventil;1
korrosion;1
ect;1
leitungssystem;1
aufrund;1
zitat;1
uhr;1
april;1
@macspeed;0
hauptbremszylinder;1
"; mfg";1
mfg;0
ventil;1
leitung;1
versionen;1
hiachse;1
regelventil;1
/;0
hbz;1
versuch;1
teil;1
gruss;1
modellreihe;1
problem;1
kühler;1
5-zylinder;1
temperatur;1
hinweise;1
danke;1
suche;1
hallo;1
schrauber;1
einzige problem;1
modellen;1
abs;1
hersteller;1
tradition;1
audi;1
ca;1
450 euro;1
euro;1
zubehör;1
abs-einheit;1
tipps;1
nochmal danke;1
hallo;1
halli;1
halli hallo;1
foren;1
nachdenken;1
seiten;1
ende;1
probieren;1
moment;1
drehzahl;1
motor;1
leerlauf;1
gasstoß;1
bsw;1
problem;1
2000u/min;1
500u/min;1
normbereich;1
standgas;1
850u/min;1
willen;1
"; beste grüße";1
grüße;1
schau;1
"110kw ; schau";1
110kw;1
http://www.volkspage.net/technik/ssp/ssp/ssp_150.pdf;0
drosseklappenpoti;1
teil;1
https://www.ebay.de/sch/i.html;0
tage;1
tronic;1
temperaturfühler;1
meldung;1
verhalten;1
poti;1
hab;1
esi;1
sollwerten;1
gesehenes problem;1
abtouren;1
angefangen;1
wochenende;1
nebenluft;1
drosselklappe;1
entlüftung;1
kw;1
membran;1
ölabscheider;1
nebel;1
sägen;1
klr;1
schlauch;1
ansaugbrücke;1
reaktion;1
